,natom,bulk,layer,cluster,sum
O4Pd2Au10,16.0,138.0,2.0,0.0,140.0
O6Pd3Au3,12.0,67.0,38.0,0.0,105.0
O16Pd12Au4,32.0,241.0,4.0,0.0,245.0
O24Pd12Au4,40.0,593.0,71.0,0.0,664.0
O10Pd2Au4,16.0,134.0,31.0,0.0,165.0
O6Pd2Au4,12.0,340.0,92.0,0.0,432.0
O9Pd3Au4,16.0,128.0,20.0,0.0,148.0
O16Pd4Au4,24.0,266.0,9.0,0.0,275.0
O4Pd4Au4,12.0,355.0,47.0,0.0,402.0
O8Pd4Au4,16.0,628.0,85.0,0.0,713.0
O6Pd6Au4,16.0,190.0,25.0,0.0,215.0
O5Pd7Au4,16.0,580.0,46.0,0.0,626.0
O24Pd6Au10,40.0,250.0,6.0,0.0,256.0
O4Pd8Au4,16.0,164.0,3.0,0.0,167.0
O8Pd3Au5,16.0,276.0,528.0,3.0,807.0
O7Pd4Au5,16.0,173.0,20.0,0.0,193.0
O16Pd10Au6,32.0,254.0,6.0,0.0,260.0
O24Pd10Au6,40.0,67.0,2.0,0.0,69.0
O6Pd4Au6,16.0,350.0,34.0,0.0,384.0
O12Pd6Au6,24.0,230.0,17.0,0.0,247.0
O4Pd6Au6,16.0,642.0,25.0,0.0,667.0
O6Pd2Au8,16.0,141.0,31.0,0.0,172.0
O24Pd8Au8,40.0,38.0,0.0,0.0,38.0
Pd2Au11,13.0,1.0,107.0,3.0,111.0
Pd1Au12,13.0,0.0,76.0,5.0,81.0
O12Pd10Au10,32.0,0.0,286.0,97.0,383.0
O8Pd4Au2,14.0,0.0,97.0,5.0,102.0
O24Pd14Au2,40.0,275.0,18.0,0.0,293.0
O16Pd8Au2,26.0,0.0,187.0,2.0,189.0
O12Pd5Au3,20.0,0.0,95.0,30.0,125.0
O20Pd9Au3,32.0,0.0,18.0,0.0,18.0
O12Pd4Au4,20.0,2.0,225.0,1.0,228.0
O24Pd4Au4,32.0,0.0,29.0,1.0,30.0
O16Pd8Au4,28.0,0.0,172.0,70.0,242.0
O16Pd6Au6,28.0,0.0,98.0,0.0,98.0
O24Pd6Au6,36.0,3.0,55.0,1.0,59.0
O4Pd2Au2,8.0,41.0,13.0,0.0,54.0
O5Pd6Au6,17.0,0.0,47.0,46.0,93.0
O10Pd8Au8,26.0,0.0,238.0,69.0,307.0
O10Pd4Au2,16.0,285.0,69.0,0.0,354.0
O16Pd6Au2,24.0,68.0,8.0,0.0,76.0
O24Pd4Au12,40.0,157.0,22.0,0.0,179.0
O44Pd16Au16,76.0,152.0,382.0,7.0,541.0
O7Pd14Au50,71.0,155.0,139.0,1.0,295.0
O48Pd28Au4,80.0,67.0,264.0,3.0,334.0
O12Pd18Au18,48.0,122.0,273.0,0.0,395.0
O44Pd4Au28,76.0,138.0,28.0,7.0,173.0
O48Pd8Au8,64.0,126.0,76.0,0.0,202.0
O9Pd36Au28,73.0,226.0,150.0,1.0,377.0
O48Pd16Au16,80.0,77.0,71.0,6.0,154.0
O40Pd20Au12,72.0,77.0,256.0,17.0,350.0
O64Pd32Au24,120.0,201.0,57.0,1.0,259.0
O40Pd36Au36,112.0,92.0,92.0,0.0,184.0
O72Pd16Au24,112.0,129.0,8.0,0.0,137.0
O5Pd15Au40,60.0,0.0,123.0,276.0,399.0
O9Pd36Au19,64.0,0.0,92.0,208.0,300.0
O12Pd25Au30,67.0,0.0,62.0,174.0,236.0
O6Pd43Au12,61.0,0.0,72.0,179.0,251.0
O11Pd18Au37,66.0,0.0,90.0,201.0,291.0
O12Pd51Au96,159.0,0.0,139.0,103.0,242.0
O64Pd24Au40,128.0,81.0,41.0,0.0,122.0
O40Pd30Au50,120.0,82.0,38.0,0.0,120.0
O64Pd48Au16,128.0,59.0,36.0,0.0,95.0
O40Pd50Au30,120.0,79.0,52.0,0.0,131.0
O32Pd8Au8,48.0,78.0,7.0,0.0,85.0
O32Pd4Au12,48.0,90.0,4.0,0.0,94.0
O32Pd12Au4,48.0,30.0,0.0,0.0,30.0
O32Pd14Au133,179.0,0.0,58.0,27.0,85.0
O3Pd14Au133,150.0,0.0,154.0,53.0,207.0
O8Au8,16.0,201.0,19.0,0.0,220.0
O6Au4,10.0,50.0,15.0,0.0,65.0
O22Au16,38.0,21.0,0.0,0.0,21.0
O7Au8,15.0,92.0,3.0,0.0,95.0
O17Au16,33.0,5.0,0.0,0.0,5.0
O15Au16,31.0,7.0,0.0,0.0,7.0
O4Au16,20.0,3.0,1.0,0.0,4.0
O24Au16,40.0,1.0,1.0,0.0,2.0
O10Au16,26.0,3.0,2.0,0.0,5.0
O4Au24,28.0,3.0,1.0,0.0,4.0
O14Au16,30.0,8.0,2.0,0.0,10.0
O6Au16,22.0,1.0,1.0,0.0,2.0
O12Au16,28.0,2.0,0.0,0.0,2.0
O1Au16,17.0,2.0,0.0,0.0,2.0
O2Au16,18.0,2.0,1.0,0.0,3.0
O3Au16,19.0,1.0,0.0,0.0,1.0
O7Pd8,15.0,213.0,13.0,0.0,226.0
O4Pd8,12.0,276.0,6.0,0.0,282.0
O18Pd7,25.0,4.0,0.0,0.0,4.0
O8Pd8,16.0,239.0,16.0,0.0,255.0
O1Pd12,13.0,0.0,22.0,0.0,22.0
O2Pd10,12.0,0.0,24.0,0.0,24.0
O18Pd9,27.0,2.0,0.0,0.0,2.0
O6Pd25,31.0,26.0,1.0,0.0,27.0
O2Pd29,31.0,23.0,0.0,0.0,23.0
O9Pd9,18.0,1.0,0.0,0.0,1.0
O6Pd4,10.0,1.0,0.0,0.0,1.0
O8Pd16,24.0,0.0,0.0,1.0,1.0
O16Pd16,32.0,0.0,0.0,4.0,4.0
O3Pd16,19.0,0.0,0.0,1.0,1.0
Pd16,16.0,343.0,42.0,9.0,394.0
Pd32,32.0,29.0,0.0,0.0,29.0
Au16,16.0,306.0,6.0,0.0,312.0
Au32,32.0,1.0,0.0,0.0,1.0
Au28,28.0,1.0,0.0,0.0,1.0
Au30,30.0,2.0,1.0,0.0,3.0
O24Pd12Au12,48.0,3.0,0.0,0.0,3.0
O20,20.0,15.0,140.0,45.0,200.0
O24,24.0,22.0,162.0,23.0,207.0
O48Pd12Au20,80.0,9.0,0.0,0.0,9.0
Total,,11056.0,6245.0,1680.0,18981.0
