index,element,radius(A)
1,H,0.32
2,He,0.46
3,Li,1.33
4,Be,1.02
5,B,0.85
6,C,0.75
7,N,0.71
8,O,0.63
9,F,0.64
10,Ne,0.67
11,Na,1.55
12,Mg,1.39
13,Al,1.26
14,Si,1.16
15,P,1.11
16,S,1.03
17,Cl,0.99
18,Ar,0.96
19,K,1.96
20,Ca,1.71
21,Sc,1.48
22,Ti,1.36
23,V,1.34
24,Cr,1.22
25,Mn,1.19
26,Fe,1.16
27,Co,1.11
28,Ni,1.10
29,Cu,1.12
30,Zn,1.18
31,Ga,1.24
32,Ge,1.21
33,As,1.21
34,Se,1.16
35,Br,1.14
36,Kr,1.17
37,Rb,2.10
38,Sr,1.85
39,Y,1.63
40,Zr,1.54
41,Nb,1.47
42,Mo,1.38
43,Tc,1.28
44,Ru,1.25
45,Rh,1.25
46,Pd,1.20
47,Ag,1.28
48,Cd,1.36
49,In,1.42
50,Sn,1.40
51,Sb,1.40
52,Te,1.36
53,I,1.33
54,Xe,1.31
55,Cs,2.32
56,Ba,1.96
57,La,1.80
58,Ce,1.63
59,Pr,1.76
60,Nd,1.74
61,Pm,1.73
62,Sm,1.72
63,Eu,1.68
64,Gd,1.69
65,Tb,1.68
66,Dy,1.67
67,Ho,1.66
68,Er,1.65
69,Tm,1.64
70,Yb,1.70
71,Lu,1.62
72,Hf,1.52
73,Ta,1.46
74,W,1.37
75,Re,1.31
76,Os,1.29
77,Ir,1.22
78,Pt,1.23
79,Au,1.24
80,Hg,1.33
81,Tl,1.44
82,Pb,1.44
83,Bi,1.51
84,Po,1.45
85,At,1.47
86,Rn,1.42
87,Fr,2.23
88,Ra,2.01
89,Ac,1.86
90,Th,1.75
91,Pa,1.69
92,U,1.70
93,Np,1.71
94,Pu,1.72
95,Am,1.66
96,Cm,1.66
97,Bk,1.68
98,Cf,1.68
99,Es,1.65
100,Fm,1.67
101,Md,1.73
102,No,1.76
103,Lr,1.61
104,Rf,1.57
105,Db,1.49
106,Sg,1.43
107,Bh,1.41
108,Hs,1.34
109,Mt,1.29
110,Ds,1.28
111,Rg,1.21
112,Cn,1.22
113,Nh,1.36
114,Fl,1.43
115,Mc,1.62
116,Lv,1.75
117,Ts,1.65
118,Og,1.57
